Gene	A_Ctrl_1	A_Ctrl_2	A_Ctrl_3	A_Ctrl_4	A_Ctrl_5	A_Ctrl_6	B_AF_1	B_AF_2	B_AF_3	B_AF_4	B_AF_5	B_AF_6
clualt3p104826:ZBTB17	1.00	1.00	1.00	1.00	1.00	1.00	0.67	0.76	0	1.00	0.60	1.00
clualt5p48043:DCAF17	0.00	0.00	0.06	0.00	0.00	0.00	0.18	0	0.38	0.14	0.00	0.13
clualt5p89324:ENPP2	0.28	0.50	0.47	0.40	0.35	0.33	0.71	0.60	0.65	0.49	0.41	0.48
clualt3p3958:EMSY	0.08	0.33	0.20	0	0.27	0.08	0.03	0.08	0.00	0.00	0.00	0.00
clualt3p37436:LINC01002	0.18	0.29	0.42	0.33	0	0.44	0.32	0.14	0	0.12	0.20	0.12
clualt5p55350:CECR2	0.67	0.95	0.77	0.68	0.92	0.73	1.00	0.91	1.00	0	0.89	0.92
clualt3p28463:ZNF778	1.00	0.71	1.00	0.79	1.00	0.94	0.40	0	0.62	0.82	0.80	0.74
clualt5p23625:SRRM2	0.45	0.59	0.67	0	0.61	0.40	0.27	0.38	0.20	0.27	0.22	0.57
clualt5p26942:TMEM170A	0.59	0.33	0.41	0.48	0.38	0.54	0.23	0.20	0.08	0.38	0.48	0.38
clualt5p33416:MFSD11	0.38	0.48	0.30	0.59	0.56	0.44	0.11	0.33	0.22	0.50	0.11	0.41
clualt5p93005:CDC14B	0.82	0.93	0.77	0.67	0.86	0.69	0.31	0.83	0.38	0.53	0.59	0.77
clualt5p62316:ABI3BP	0.94	0.98	0.97	0.91	1.00	0.76	0.78	0.81	0.59	0.59	0.68	0.74
clualt5p2510:MEN1	0.64	0.62	0.50	0.67	0.62	0.53	0.88	0	0.86	0.50	0.93	0.75
clualt5p46330:AFF3	0.17	0.40	0.35	0.00	0.38	0.36	0.10	0.10	0.00	0.00	0.00	0.07
clualt5p100828:CREM	0	0.52	0.73	0.53	0.53	1.00	0.25	0.42	0.50	0.33	0.00	0
clualt3p100109:ALG13	0.15	0.39	0.39	0.50	0.61	0.38	0.16	0.16	0.38	0.15	0.11	0.07
clualt5p41724:ZNF320	0.15	0.06	0.17	0.09	0.00	0.26	0.23	0.44	0.14	0.26	0.77	0.27
clualt3p68755:TAPT1	0.74	0.92	0.91	0.62	0.92	0.74	1.00	0.93	1.00	0.91	1.00	0.91
clualt5p96717:PHKA1	0.53	0.55	0.43	0.25	0.33	0	0.73	0.50	0.58	0.80	0.50	0
clualt3p74578:LVRN	0.34	0.43	0.26	0.36	0.31	0.34	0.74	0.81	0.86	0.75	0.63	0.45
clualt5p50470:AGAP1	0.22	0.29	0.38	0.33	0.35	0.17	0.34	0.47	0.60	0.59	0.35	0.42
clualt5p23658:FLYWCH1	0.12	0.16	0.09	0.33	0.26	0.18	0.00	0.22	0.00	0.00	0.00	0.00
clualt5p94986:COL5A1	0.20	0.20	0.16	0.51	0.15	0.32	0.62	0.36	0.64	0.61	0.50	0.53
clualt5p88794:RBM12B	0.37	0.35	0.12	0.17	0.13	0.64	1.00	0.50	0.71	0.50	0.58	0.30
clualt5p55928:GRK3	0.77	0.80	0.67	0.85	0.80	0.70	0.92	0.95	0.92	0.92	0.92	0.94
clualt5p80329:NAV1	0.57	0.59	0.51	0.54	0.33	0.38	0.15	0.20	0.07	0.19	0.33	0.45
clualt3p17804:PAPLN	0.73	0.70	0.87	0.67	0.71	0.76	1.00	1.00	1.00	0.90	1.00	0.90
clualt3p104634:RP11-574K11.24	0.43	0.24	0.28	0.48	0.11	0.43	0.07	0.00	0.00	0.00	0.00	0.00
clualt5p3559:STARD10	1.00	1.00	0.97	1.00	0	1.00	0.56	0.71	0.80	0.68	0.86	0.93
clualt3p58121:PISD	0.23	0.15	0.07	0.09	0.00	0.00	0.23	0.38	0.47	0.09	0.15	0.19
clualt3p107280:PHRF1	0.65	0.75	0.55	0.74	0.67	0.82	0.81	1.00	0.67	1.00	1.00	0.87
clualt5p18386:EML1	0.34	0.57	0.56	0.43	0.38	0.68	0.92	1.00	0.71	0.48	0.68	0.86
clualt3p24402:ZSCAN32	0.67	0.92	0.53	0.71	1.00	0.71	1.00	1.00	0	1.00	1.00	1.00
clualt3p33888:FAM20A	0.71	0.78	0.93	0.58	0.56	0.96	1.00	0.71	1.00	1.00	1.00	1.00
clualt3p47891:TTF2	1.00	1.00	1.00	1.00	1.00	0.85	0.67	0.75	0.89	1.00	0.86	0.70
clualt5p74234:TCERG1	0.24	0.19	0.30	0.52	0.14	0.20	0.15	0.06	0.15	0.11	0.00	0.15
clualt3p85125:STAG3L4	0.08	0.03	0.00	0.00	0.00	0.12	0.05	0.50	0.32	0.00	0.37	0.15
clualt3p89473:C8orf58	0.78	0.48	0.39	0.58	0.76	0.75	0.00	0.33	0.40	0	0.15	0.36
clualt5p104170:NSMCE4A	0.15	0.12	0.08	0.17	0.08	0.14	0.19	0.21	0.40	0.30	0.37	0.18
clualt5p4345:MRE11	0.49	0.58	0.60	0.63	0.54	0.40	0.55	0.37	0.21	0.39	0.36	0.44
clualt5p99541:TASOR2	1.00	0.94	0.95	1.00	1.00	1.00	0.80	0.64	0.72	0.95	0.64	1.00
clualt5p39539:PEPD	0.07	0.00	0.15	0.13	0.04	0.02	0.26	0.15	0.13	0.50	0.39	0.11
clualt5p52781:TOMM34	1.00	1.00	0.91	0.83	1.00	0.76	0.53	0.76	0.69	0.67	0.79	1.00
clualt3p78024:RIPOR2	0.23	0.36	0.23	0.37	0.36	0.33	0.62	0.51	0.59	0.50	0	0.32
clualt5p12505:SMAD9	0.75	0.78	0.48	0.50	0.58	0.65	0.75	0.75	1.00	0	0.85	0.88
clualt3p54760:C1orf54	0.78	0.74	0.52	0.86	0.54	0.91	0.52	0.38	0.32	0.39	0.48	0.62
clualt5p104279:EEF1AKMT2	0.87	0.76	0.55	0.73	0.88	0.54	0.57	0.52	0.52	0.60	0.36	0.52
clualt5p53827:DIDO1	0.00	0.00	0.53	0.00	0.00	0.00	0.68	0.60	0.24	0.58	0.60	0.00
clualt3p93681:AQP7	0.58	0.61	0.60	0.64	0.64	0.54	0.60	0.56	0.21	0.16	0.50	0.52
clualt3p62604:THBS3	0.35	0.18	0.11	0.12	0.43	0.35	0.18	0.00	0.06	0.00	0.18	0.19
clualt5p39832:ZNF529-AS1	0.17	0.06	0.31	0.38	0.12	0.08	0.44	0	0.50	0.71	0.15	0.33
clualt3p12995:ZDHHC20	1.00	0.75	0.80	0.70	0.72	0.79	0.69	0.71	0.55	0.78	0.29	0.56
clualt3p33684:SMURF2	0.18	0.16	0.13	0.39	0.55	0.15	0.10	0.07	0.03	0.03	0.00	0.10
clualt5p29376:MYSM1	0.00	0.05	0.11	0.00	0.05	0.19	0.41	0.06	0.33	0.08	0.31	0.12
clualt5p89257:TRPS1	0.27	0.42	0.51	0.51	0.53	0.47	0.61	0.79	0.82	0.78	0.60	0.39
clualt5p71360:SLC38A9	0.00	0.00	0.08	0.06	0.08	0.00	0.33	0.25	0.12	0.55	0.00	0.14
clualt3p83581:HDAC9	0.68	0.57	0.79	1.00	0.54	0.52	0.36	0.38	0.50	0.50	0.54	0.49
clualt5p54100:MIR99AHG	0.81	0.91	0.71	0.78	0.46	0.76	1.00	0.80	0	0.88	1.00	1.00
clualt3p17979:MACF1	0.59	0.50	0.82	0.58	0.75	0.53	0.74	0	0.73	0.83	1.00	0.71
clualt3p100031:TMEM164	0.24	0.12	0.20	0.31	0.42	0.33	0.40	0.56	0.70	0.60	0.37	0.18
clualt5p90456:KANK1	0.71	0.52	0.59	0.33	0.67	0.66	0.34	0.46	0.15	0.16	0.29	0.48
clualt3p101540:NSDHL	0.24	0.04	0.50	0.30	0.55	0.30	0.03	0.11	0.26	0.08	0.10	0.13
clualt3p40906:LSR	0	0.71	0.86	0.70	0.88	0.74	0.44	0.25	0.50	0.73	0.69	0.72
clualt5p97002:TRMT2B	0.55	0.61	0.69	0.73	0.72	0.59	0.84	0.80	0.89	0.73	0.93	0.74
clualt5p74249:DPYSL3	0.35	0.39	0.36	0.49	0.41	0.64	0.75	0.62	0.49	0.51	0.71	0.56
clualt3p15158:ACIN1	0.88	0.83	0.79	0.80	0.76	0.76	0.56	0.55	0.54	0.63	0.74	0.80
clualt5p66641:--	0.75	0.65	0.88	1.00	1.00	0.91	0.54	0	0.60	0.29	0.81	0.66
clualt3p72090:MTRR	0.55	0.56	0.53	0.49	0.46	0.42	0.61	0.77	0.46	0.76	0.56	0.78
clualt3p40550:DPY19L3	0.36	0.29	0.03	0.00	0.27	0.00	0.04	0.00	0.00	0.00	0.00	0.00
clualt5p13106:MRPS31P4	0.87	1.00	0.88	1.00	1.00	0.91	0.86	0.71	0.50	0.86	0.90	0.81
clualt5p43986:SRSF7	0.08	0.28	0.38	0.39	0.65	0.57	0.23	0.18	0.26	0.14	0.09	0.15
clualt5p93170:INVS	0.00	0.12	0.19	0.17	0.03	0.23	0.41	0.25	0.22	0.13	0.40	0.26
clualt5p76553:BTN2A1	0.26	0.16	0.22	0.24	0.13	0.34	0.21	0.38	0.78	0.64	0.60	0.57
clualt5p3988:PCF11	0.76	0.60	0.67	0.73	0.55	0.80	0.43	0.61	0.48	0.61	0.15	0.50
clualt5p94224:ZBTB43	0.60	0.88	0.68	0.52	0.48	0.71	0.94	0.81	0.93	0.80	0.71	0.91
clualt5p30691:--	0.68	0.57	0.67	0.79	0.56	0	0.83	0.62	0.84	1.00	1.00	0.80
clualt3p100355:BCORL1	0.68	0.65	0.70	0.57	0.74	0.77	0.92	0	0.85	0.94	0.90	0.94
clualt5p24112:MRTFB	0.27	0.20	0.50	0.26	0.48	0.41	0.51	0.55	0.65	0.50	0.44	0.37
clualt3p73992:ATG10	0.44	0.21	0.44	0.38	0.06	0.30	0.00	0	0.20	0.00	0.12	0.20
clualt3p41165:ZNF875	0.12	0.22	0.17	0.20	0.00	0.21	0.41	0.33	0.56	0.15	0	0.43
clualt5p15066:PRPF39	0.85	1.00	0.67	0.22	0.88	0.67	0.46	0.26	0.44	0.43	0.40	0.50
clualt5p17310:PSEN1	1.00	1.00	1.00	1.00	1.00	0.88	0.82	0	0.85	1.00	0.81	0.55
clualt3p6196:TEAD4	0.95	1.00	1.00	1.00	1.00	1.00	0.68	0.85	0.83	0.33	0.78	1.00
clualt5p55325:TPTEP1	0.67	0	0.79	0.57	0.33	0.71	0.76	1.00	1.00	0.91	0.93	0.55
clualt5p95688:RAI2	0.36	0.10	0.40	0.29	0.07	0.14	0.50	0.38	0.15	0.62	0.64	0.67
clualt3p95193:TUT7	0.00	0.42	0.19	0.50	0.55	0.58	0.16	0.17	0.17	0.09	0.00	0.05
clualt5p9851:VEZT	0.31	0.39	0.28	0.38	0.12	0.28	0.37	0.58	0.45	0.52	0.24	0.52
clualt3p71756:TENM3	0.20	0.23	0.04	0.13	0.12	0.11	0.35	0.57	0.32	0.40	0.00	0.36
clualt5p79191:MDN1	0.69	0.87	0.88	0.87	0.71	0.96	1.00	1.00	1.00	1.00	1.00	0.91
clualt3p79681:SRSF3	0.14	0.18	0.23	0.20	0.36	0.49	0.09	0.23	0.15	0.09	0.03	0.07
clualt5p5443:ARHGAP32	0.58	1.00	0.64	0.83	0.78	0.74	1.00	1.00	1.00	1.00	0.89	1.00
clualt3p40992:PROSER3	0.62	0.69	0.61	0.50	0.10	0.74	0.75	0.90	0.67	0.75	0.75	0.83
clualt5p88122:SULF1	0.21	0.17	0.29	0.30	0.25	0.29	0.61	0.69	0.33	0.38	0.23	0.37
clualt5p53066:LINC00869	0.13	0.50	0.64	0	0.40	0.04	0.07	0.07	0.12	0.18	0.00	0.17
clualt3p92398:TOP1MT	0.33	0.50	0.00	0.55	0.07	0.62	0.04	0.00	0.12	0.00	0.00	0.00
clualt5p60255:ZNF445	1.00	1.00	1.00	1.00	1.00	0.95	0.55	1.00	0	0.80	0.55	1.00
clualt3p43435:LILRB3	0.00	0.00	0.11	0.12	0.02	0	0.06	0.17	0.13	0.43	0.44	0.25
clualt5p15069:PRPF39	0.62	0.64	0.24	0	0.43	0.29	0.28	0.00	0.22	0.29	0.00	0
clualt3p75246:BRD8	0.81	0.74	0.65	0.90	0.80	0.55	0.24	0.58	0.25	0.77	0.50	0.59
clualt3p37558:ABCA7	0.91	0	0.67	0.82	0.68	0.83	1.00	1.00	1.00	0.92	0.83	1.00
clualt3p40317:LPAR2	0.55	0.65	0.67	0.56	1.00	0	1.00	0.83	1.00	0	1.00	1.00
clualt3p12880:PSPC1	0.65	0.45	0.68	0.65	0.71	0.72	0.87	0.89	0.80	0.79	0.83	0.66
clualt3p38808:ZNF559-ZNF177	0.38	0.12	0.27	0.33	0.27	0.11	0.14	0.00	0.00	0.25	0.00	0.14
clualt3p74609:LVRN	0.58	0.40	0.28	0.24	0.24	0.36	0.06	0.13	0.10	0.18	0	0.31
clualt5p28921:NAA38	0.72	0.66	0.78	0.81	0.70	0.79	0.85	0.80	0.98	0.94	0.90	0.90
clualt3p40279:NR2C2AP	0.83	0.62	0.78	1.00	0.84	1.00	0.56	0.67	0.47	0.72	0.72	0.83
clualt3p37243:RP1-283E3.8	0.29	0.30	0.51	0.25	0.35	0.48	0.66	0.30	0.57	0.50	0.62	0.74
clualt5p61865:ADAMTS9	0.45	0.74	0.58	0.60	0.75	0.52	0.90	0.82	0.86	0.77	0.67	0.88
clualt5p88120:SULF1	1.00	0.89	0.96	1.00	0.94	0.95	0.55	1.00	0.88	0.89	0.65	0.67
clualt3p106876:ATE1	0.43	0.42	0.42	0.41	0.37	0.22	0.12	0.28	0.29	0.11	0.20	0.35
clualt5p104558:PHRF1	0.60	0.74	0.68	0.67	0.55	0.82	0.90	1.00	0.78	1.00	1.00	0.82
clualt3p12922:XPO4	0.21	0.00	0.00	0.10	0.08	0.15	0.39	0.31	0.24	0.30	0.17	0.23
clualt5p64390:CCNL1	0.66	0.75	0.54	0.70	0.76	0.66	0.83	0.78	0.89	0.84	0.85	0.80
clualt5p51750:RIN2	0.25	0.22	0.40	0.22	0.52	0.20	0.75	0.68	0.47	0.80	0.42	0.41
clualt3p107730:PGAP2	1.00	0.92	0.88	1.00	1.00	0.92	1.00	0	0.43	0.50	0.88	0.75
clualt5p3628:MRPL48	0.09	0.43	0.20	0.38	0.44	0.12	0.10	0.07	0.00	0.06	0.00	0.07
clualt5p57487:MIRLET7BHG	0.23	0.21	0.12	0.15	0.38	0	0.40	0.50	0.33	0.40	0	0.48
clualt5p62302:ABI3BP	0.67	0.77	0.77	0.39	0.70	0.67	0.11	0.49	0.18	0.14	0.05	0.12
clualt3p24560:METTL22	0.29	0.47	0.15	0.42	0.12	0.34	0.10	0.00	0.00	0.00	0.00	0.00
clualt3p64424:CD200	0.38	0.44	0.26	0.31	0.33	0.42	0.14	0.05	0.12	0	0.14	0.00
clualt5p81944:GARS1-DT	0.31	0.26	0.42	0.24	0.60	0.24	0.29	0.55	0.74	0.50	0.60	0.52
clualt5p13048:DLEU2	0.24	0.39	0.43	0.43	0.47	0.29	0.38	0.12	0.21	0.14	0.09	0.11
clualt3p84656:UPP1	0.12	0.46	0.45	0.42	0.33	0.69	0.72	0.68	0.55	0.71	0.62	0.43
clualt3p3795:XRRA1	0.77	0.73	0.84	0.65	0.60	1.00	0.00	0.45	0.50	0.38	0	0.38
clualt5p4036:SYTL2	0.88	0.30	0.67	0.57	1.00	0	0	1.00	1.00	1.00	1.00	1.00
clualt5p53009:CH17-189H20.1	0.18	0.07	0.18	0.07	0.22	0.11	0.39	0.20	0.27	0.36	0.41	0.20
clualt3p6858:TAS2R14	0.69	0.64	0.52	0	0.33	0.57	0.33	0.00	0	0.20	0.33	0.57
clualt5p54556:HLCS	0.50	0.35	0.87	0.47	0.75	0.62	0.35	0.33	0.13	0.00	0.17	0.43
clualt3p67815:AC024560.3	0.40	0.43	0.60	0	0.33	0.62	0.50	0.00	0	0.25	0.11	0.00
clualt3p23580:TTC23	0.14	0.14	0.04	0.00	0.00	0.25	0.35	0.44	0.15	0.21	0.43	0.07
clualt5p46050:SEMA4C	0.35	0.14	0.36	0.50	0.38	0.50	0.20	0.07	0.21	0.45	0.14	0.00
clualt5p84328:RP11-514P8.7	1.00	1.00	0.89	1.00	0.97	1.00	1.00	0.62	0	0.75	0.88	0.85
clualt5p51496:RASSF2	0.92	0.80	0.57	0.59	0.60	0.44	0.45	0.38	0.32	0.56	0.46	0.54
clualt5p97304:SEPTIN6	0.00	0	0.24	0.60	0.20	0.38	0.00	0.00	0.00	0.00	0.00	0.07
clualt3p61660:ITGA9-AS1	0.27	0.42	0.50	0	0.29	0.57	0.50	0	0.56	0.75	1.00	0.58
clualt5p56111:ZMAT5	0.43	0.66	0.63	0.59	0.46	0.44	0.27	0	0.21	0.56	0.18	0.34
clualt3p27834:MLKL	0.67	0.39	0.13	0.40	0.52	0.44	0.14	0.33	0.07	0.25	0.00	0.25
clualt5p43233:FAM228B	0.43	0.31	0.37	0.64	0.54	0.57	0.31	0.00	0.33	0.23	0.21	0.37
clualt3p17561:MPP5	0	0.78	0.87	0.76	1.00	0.74	0.79	0.76	0.45	0.56	0.70	0.71
clualt5p54809:TARS2	0.62	0.68	0.73	0.59	0.60	0.77	0.36	0.19	0.12	0.61	0.56	0.67
clualt5p90810:UHRF2	0.31	0.32	0.21	0.33	0.50	0.39	0.05	0.26	0.08	0.16	0.33	0.25
clualt5p71961:CCDC125	0.72	0.79	0.57	0.64	0.54	0.78	0.45	0.40	0.14	0.42	0.67	0.60
clualt5p7611:ZNF641	0.87	0.72	0.87	0.78	0.81	0.81	1.00	1.00	1.00	1.00	1.00	0.83
clualt3p107910:DENND2B	1.00	0.81	0.98	1.00	0.96	1.00	0.86	0.67	0.67	0.87	1.00	0.73
clualt3p19714:TUBGCP5	0.11	0	0.36	0.46	0.09	0.23	0.09	0.14	0.00	0.00	0.00	0.13
clualt5p56803:RP1-37E16.13	1.00	0.67	0.91	0.89	0.86	0.71	1.00	1.00	0	1.00	1.00	1.00
clualt5p79259:HACE1	0.30	0.10	0.13	0.00	0	0.41	0.00	0.00	0.00	0.00	0.00	0.00
clualt5p69715:GATB	0.27	0.48	0.30	0.21	0.00	0.24	0.51	0.29	0.75	0.36	0.80	0.54
clualt3p102291:TASOR2	1.00	0.93	0.90	1.00	1.00	1.00	0.82	0.76	0.64	0.93	0.73	1.00
clualt5p37764:ZNF558	0.24	0.26	0.39	0.43	0.46	0.57	0.00	0.00	0.17	0.17	0.22	0.23
clualt3p93345:ZDHHC21	0	0.12	0.30	0.00	0.00	0.00	0.45	0	0.00	0.60	0.50	0.38
clualt3p83641:FAM126A	0.37	0.27	0.44	0.67	0.43	0.56	0.78	0.74	0.75	0.86	0.67	0.43
clualt5p16654:SAMD4A	0.29	0.35	0.49	0.40	0.42	0.58	0.61	0.67	0.55	0.40	0.64	0.60
clualt5p45244:ZNF638	0.70	0.66	0.63	0.75	0.46	0.69	0.91	0.75	0.90	0.75	0.73	0.81
clualt3p93502:FOCAD	0.91	0.86	0.94	0.80	0.71	0.76	1.00	0.91	1.00	1.00	1.00	1.00
clualt5p79242:TSTD3	0.22	0.47	0.63	0.50	0.46	0.70	1.00	1.00	0	0.89	0.76	0.79
clualt3p54759:C1orf54	0.33	0.46	0.68	0.48	0.42	0.52	0.42	0.88	0.55	0.84	0.62	0.74
clualt5p27386:GALNS	0.56	0.62	0.73	0.39	0.62	0.85	0.95	0.80	0.88	0.76	0.67	0.74
clualt3p9843:SRGAP1	0.64	0.93	0.83	0.67	0.67	0.80	1.00	0.88	0.89	1.00	1.00	0.78
clualt3p80411:ZNF451	0.34	0.20	0.26	0.37	0.14	0.19	0.36	0.37	0.52	0.29	0.64	0.36
clualt5p17522:MACF1	0.53	0.64	0.90	0.69	0.73	0.67	0.81	1.00	0.79	0.83	1.00	0.80
clucontain18652:RNPS1	0.26	0.28	0.20	0.22	0.38	0.46	0.16	0.15	0.14	0.14	0.12	0.13
clualt5p47393:RP11-107E5.5	0.52	0.61	0.75	0.57	0.63	0.62	0.69	0.78	0.70	0.84	0.95	0.82
clualt3p29971:TMEM107	0.00	0.11	0.08	0.00	0.15	0.00	0.18	0.25	0	0.00	0.30	0.33
clualt5p3313:RP11-554A11.11	0.88	0.65	0.56	0.84	0.77	0.88	0.33	0.81	0	0.42	0.67	0.39
clualt5p16959:ZBTB25	0.00	0.15	0.36	0.14	0.05	0.16	0	0.25	0.69	0.46	0.30	0.41
clualt3p33843:--	0.00	0.21	0.17	0.00	0.00	0.15	0.35	0.12	0.42	0.23	0.16	0.40
clualt3p106062:PPRC1	0.65	0.90	0.57	0.89	0.87	0.59	0.96	0.97	0.99	0.93	0.87	0.90
clualt3p97660:COL5A1	0.87	0.77	0.89	0.56	0.91	0.72	0.48	0.79	0.49	0.40	0.54	0.67
clualt3p100500:FGF13	0.62	0.37	0.79	0.41	0.63	0.72	0.93	0.67	0.75	0.96	0.83	0.85
clualt5p51632:TASP1	0	0.00	0.00	0.09	0.00	0.00	0.36	0.19	0.15	0.30	0.09	0.00
clualt3p93049:--	1.00	1.00	0.36	0.60	0.53	0.33	0.36	0.26	0.00	0.43	0.19	0.31
clualt5p90811:UHRF2	0.42	0.36	0.77	0.79	0.39	0.74	0.32	0.26	0.37	0.36	0.13	0.18
clualt3p1080:TMEM132A	0.15	0.38	0.32	0.17	0.22	0.33	0.50	0.83	0.14	0.57	0.57	0.40
clualt3p3089:PELI3	0.69	0.71	0.58	0.77	0.78	0.61	0.45	0.27	0	0.56	0.71	0.59
clualt3p36387:FHOD3	0.00	0.09	0.00	0.21	0.00	0.22	0.41	0.53	0.37	0.07	0.22	0.45
clualt3p85497:STYXL1	0.34	0.28	0.11	0.19	0.39	0.20	0.24	0.72	0.44	0.53	0.39	0.34
clualt5p70634:TRIO	0.44	0.39	0.59	0.24	0.11	0.36	0.13	0.07	0.09	0.21	0.10	0.15
clualt5p20456:USP8	0.58	0.40	0.69	0.48	0.36	0.40	0.27	0.44	0.34	0.47	0.24	0.23
