Gene	A_Ctrl_1	A_Ctrl_2	A_Ctrl_3	A_Ctrl_4	A_Ctrl_5	A_Ctrl_6	B_AF_1	B_AF_2	B_AF_3	B_AF_4	B_AF_5	B_AF_6
clualt3p70953:LARP1B	0.55	0.33	0.23	0.33	0.38	0.43	0.51	0.79	0.63	0.64	0	0.58
clualt3p33162:SKA2	0.60	0.71	0.77	0.69	0.67	0.68	0.64	0.56	0.55	0.50	0.45	0.47
clualt3p3955:EMSY	1.00	0.82	0.91	0.93	0.95	0.87	0.80	1.00	0.75	0.70	0.60	0.71
clualt5p4382:CEP57	0.00	0.21	0.28	0.20	0.10	0.14	0.00	0.00	0	0.00	0.00	0.00
clualt3p36856:RELCH	0.26	0.10	0.14	0.33	0.20	0.20	0.00	0.10	0.00	0.00	0.00	0.00
clualt3p98763:DIPK2B	0.38	0.37	0.29	0.49	0.39	0.27	0.57	0.63	0.56	0.61	0.44	0.48
clualt3p38580:ZNF557	0.77	0.91	0.84	1.00	0.56	0.80	0.67	0.80	0.50	0.52	0.62	0.53
clualt3p32031:MIER1	0.24	0.12	0.40	0.43	0.40	0.33	0.04	0.06	0.12	0.06	0.06	0.00
clualt5p83656:SEMA3A	0.95	0.88	0.71	0.71	0.80	0.95	0.79	0.36	0.72	0	0.45	0.50
clualt5p32930:ABCA6	0.24	0.33	0.10	0.35	0.59	0.28	0.11	0.15	0.22	0.10	0.07	0.00
clualt5p73613:BRD8	0.85	0.78	0.69	0.90	0.81	0.59	0.39	0.62	0.50	0.77	0.50	0.59
clualt3p32678:RP11-156P1.3	0.50	0.49	0.51	0.57	0.35	0.53	0.59	0.67	0.78	0.78	0.70	0.41
clualt5p41699:ZNF83	0.08	0.04	0.27	0.10	0.31	0.18	0.47	0.10	0.39	0.53	0.56	0.39
clualt3p85676:NFASC	0	0.60	0.82	1.00	0.62	0.70	0.54	0	0.64	0.46	0.65	0.38
clualt3p18867:LINC01550	1.00	1.00	1.00	1.00	1.00	0.90	0.87	1.00	0.45	0.85	0.71	0.79
clualt3p27491:PRMT7	0.28	0.27	0.28	0.15	0.25	0.27	0.00	0	0.00	0.00	0.00	0.31
clualt5p57724:SCO2	0.67	0.55	0.77	0.30	0.61	0.77	0.65	0.75	1.00	1.00	1.00	0.90
clualt5p95671:TXLNG	0.21	0.14	0.13	0.54	0.46	0.43	0.06	0.06	0.07	0.10	0.04	0.00
clualt5p58019:MTMR14	0.29	0.23	0.44	0.35	0.53	0.75	0.63	0.77	0.86	1.00	0.47	0.48
clualt3p28425:GALNS	0.47	0.64	0.45	0.19	0.45	0.62	0	0.73	0.75	0.58	0.60	0.64
clualt3p104789:DNAJC16	0.66	0.58	0.87	0.65	0.74	0.60	0.77	1.00	0.87	0.95	0.63	0.92
clualt5p32006:TSPOAP1	0.86	0.93	0.76	0.64	0	0.83	1.00	1.00	0	1.00	0.88	0.90
clualt5p54802:PDE9A	0.75	0.44	0.94	0.44	0.68	0.76	0.62	0	1.00	1.00	1.00	1.00
clualt5p67758:ANKRD17	0.92	0.44	1.00	1.00	0.67	0.90	0.41	0.33	0.67	0.67	0.57	0.71
clualt5p41025:PRPF38B	0.28	0.38	0.43	0.53	0.37	0.33	0.11	0.35	0.22	0.18	0.20	0.25
clualt3p62147:PTPN23	0.89	0.91	0.93	0.86	0.68	0.96	0.63	0.58	0.53	0.92	0.72	0.77
clualt3p81841:MED23	0.39	0.00	0.60	0.47	0.15	0.22	0.00	0.08	0.00	0.03	0.24	0.00
clualt5p68903:SGMS2	0.90	0.70	0.90	0.57	0.58	0.89	0.56	0.64	0.69	0.31	0.63	0.52
clualt5p99410:IDI1	0.58	0.64	0.47	0.80	0.58	0.89	0.91	0.94	0.95	0.90	0.86	0.59
clualt3p54485:NCOA3	0.23	0.48	0.43	0.48	0.44	0.42	0.43	0.55	0.46	0.58	0.75	0.66
clualt3p63334:NEK4	0.89	0.58	0.62	0.72	0.71	0.62	0.29	0.50	0.29	0.31	0.55	0.72
clualt3p97106:SPTAN1	0.55	0.58	0.45	0.53	0.46	0.78	0.32	0.45	0.40	0.36	0.38	0.42
clualt3p40905:LSR	0	0.72	0.71	0.62	0.78	0.50	0.17	0.54	0.40	0.33	0.60	0.38
clualt5p44892:VPS54	0.31	0.06	0.29	0.48	0.29	0.04	0.00	0.04	0.17	0.00	0.00	0.00
clualt5p23897:METTL22	0.08	0.44	0.29	0.36	0.22	0.23	0.31	0.10	0.00	0.00	0.00	0.19
clualt5p75272:KIAA1614	0.78	0.92	1.00	0.84	0.85	0.91	0.96	0.67	0.50	0.73	0.70	0.67
clualt3p105180:NUTM2A-AS1	0.31	0.13	0.26	0.29	0.29	0.32	0.21	0.17	0.05	0.12	0.00	0.11
clualt3p21449:ICE2	0.53	0.31	0.39	0.56	0.56	0.39	0.84	0.77	0.67	0.62	0.50	0.54
clualt5p57951:THUMPD3	0.26	0.15	0.38	0.60	0.59	0.41	0.15	0.38	0.00	0.07	0.00	0.39
clualt3p45516:SRSF7	0.39	0.45	0.53	0.65	0.78	0.71	0.47	0.38	0.54	0.38	0.31	0.43
clualt5p69826:TMEM144	0.21	0.00	0.00	0.08	0.00	0.07	0.06	0.30	0.27	0.29	0.18	0.22
clualt5p84213:SLC12A9	0.43	0.64	0.60	0.62	0.69	0.56	0.11	0.38	0	0.43	0.36	0.50
clualt5p19118:WHAMMP3	0.35	0.27	0.50	0.18	0.33	0.25	0.00	0.00	0.00	0.29	0.00	0.24
clualt3p32029:MIER1	0.61	0.67	0.29	0.27	0.45	0.53	0.16	0.06	0.12	0.32	0.23	0.30
clualt5p53824:DIDO1	0.69	0.62	0.60	0.79	0.69	0.73	0.00	0.56	0.44	0.50	0.00	0.67
clualt3p39593:TRMT1	1.00	1.00	0.99	0.90	1.00	1.00	0.66	0.73	0.71	0.92	1.00	0.97
clualt3p43219:ZNF600	0.33	0.11	0.40	0.27	0.52	0.56	0.18	0	0.08	0.25	0.00	0.00
clualt5p20627:PYGO1	0.88	0.93	1.00	1.00	1.00	0.89	0.56	0.47	0.33	1.00	0	0.89
clualt5p81266:TNRC18	0.10	0.14	0.10	0.07	0.20	0.07	0.22	0.42	0.42	0.34	0.24	0.12
clualt5p53826:DIDO1	1.00	1.00	0.56	1.00	1.00	1.00	0.00	0.46	0.71	0.42	0.00	1.00
clualt5p103925:ABLIM1	0.18	0.54	0.41	0.36	0.33	0.34	0.10	0.14	0.14	0.15	0.15	0.36
clualt3p36351:INO80C	0.31	0.00	0.16	0.35	0.34	0.40	0.13	0.12	0.17	0.12	0.00	0.05
clualt3p70390:RAP1GDS1	0.25	0.26	0.40	0.26	0.21	0.24	0.41	0.25	0.51	0.36	0.52	0.53
clualt5p58534:IQSEC1	0.46	0.31	0.48	0.38	0.54	0.33	0.12	0.28	0.28	0.18	0.26	0.23
clualt3p56628:PRUNE1	0.73	0.95	0.89	0.72	1.00	0.56	0.50	0	0.75	0.53	0.50	0.52
clualt5p78144:MED20	0.67	0.67	0.89	0.94	0.47	0.77	1.00	1.00	1.00	1.00	0	0.94
clualt3p36522:EPG5	0.91	0.69	0.65	0.80	0.82	0.88	0.97	0.94	0.80	0.95	1.00	1.00
clualt5p27405:ZNF778	1.00	0.62	1.00	0	1.00	0.91	0.10	0.33	0.38	0.78	0	0.62
clualt5p23979:CLEC16A	0.26	0.24	0.41	0.38	0.29	0.30	0.50	0.81	0.45	0.29	0.53	0.47
clualt5p68718:MANBA	0.00	0.00	0.04	0.19	0.09	0.04	0.33	0.18	0.57	0.03	0.40	0.06
clualt5p70347:SNX25	0.17	0.11	0.00	0.43	0.11	0.22	0.08	0.00	0.06	0.00	0.00	0.00
clualt5p4318:CEP295	0.82	0.83	0.79	0.87	0.91	1.00	0.50	0.00	0.92	0.61	0.50	0.67
clualt3p98000:PNPLA7	0.14	0.09	0.18	0.00	0.00	0.13	0.29	0.33	0.14	0.38	0.36	0.00
clualt5p72124:ANKRA2	0.15	0.33	0.50	0.43	0.15	0.12	0.00	0.22	0.00	0.06	0.00	0.14
clualt5p32102:TUBD1	0.29	0.40	0.00	0	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
clualt5p88749:RUNX1T1	0.47	0.17	0.18	0.32	0.33	0.44	0.91	0	0.57	0.47	0.59	0.35
clualt5p22577:PEX11A	0.46	0.64	0.24	0.23	0.31	0.40	0.55	1.00	0.50	1.00	0.50	0.54
clualt5p4758:TTC12	0.09	0.15	0.18	0.32	0.22	0.39	0.10	0.00	0.00	0.07	0.00	0.16
clualt3p25097:AC138969.4	0.81	0.75	0.67	0.91	0.50	1.00	0.26	0.11	0.00	0.37	0.59	0.93
clualt3p76748:CRYZL2P	0.00	0.15	0.00	0.14	0.27	0.40	0.00	0.00	0.00	0.00	0.00	0.00
clualt5p82867:GS1-124K5.12	1.00	0.78	1.00	0.93	0.71	1.00	0.44	0.44	0	0.50	0.83	0.79
clualt3p105114:RP11-96C23.5	0.45	0.49	0.42	0.85	0.69	0.67	0.00	0	0.25	0.43	0.25	0.39
clualt3p59032:C22orf46	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.62	0.56	0.91	0.86
clualt5p32960:ABCA5	0.32	0.31	0.40	0.20	0.06	0.41	0.16	0.12	0.06	0.20	0.00	0.19
clualt5p88836:NDUFAF6	0	0.38	0.42	0.57	0.43	0.43	0.38	0.22	0	0.17	0.29	0.29
clualt5p99265:EFCAB2	0.20	0	0.44	0.33	0.43	0.59	0.79	0.57	0.74	0.56	0	1.00
clualt5p83156:LAT2	1.00	0.85	0.60	0.62	0.38	0.50	0.17	0.70	0.21	0	0.11	0.39
